product_subcategory_id,product_category_id,name
5332b46f-2ec0-453b-8237-c78051d4c7bf,6b440a50-1a1b-4d3b-988f-076c498bd092,Mountain Bikes
5fb7ef8d-7610-4230-ae2a-09846fd56ada,6b440a50-1a1b-4d3b-988f-076c498bd092,Road Bikes
be3c8ce6-c1ec-4835-af3b-e49e199380c5,6b440a50-1a1b-4d3b-988f-076c498bd092,Touring Bikes
327e57d0-2de2-4b3f-8eff-cb6b8a273842,65e2841b-c7da-4c4a-9565-cd8cfd9a2f68,Handlebars
57591aab-ca01-4a76-9c74-e7a806b42ba5,65e2841b-c7da-4c4a-9565-cd8cfd9a2f68,Bottom Brackets
22a9a4d0-29b8-4bef-815d-fdc670f839f0,65e2841b-c7da-4c4a-9565-cd8cfd9a2f68,Brakes
85441e68-da04-42a1-b334-660b26666c45,65e2841b-c7da-4c4a-9565-cd8cfd9a2f68,Chains
8a2afb4f-58f5-4238-81ee-cea17d307893,65e2841b-c7da-4c4a-9565-cd8cfd9a2f68,Cranksets
7ae37628-4eba-48d6-8e24-a09e80006956,65e2841b-c7da-4c4a-9565-cd8cfd9a2f68,Derailleurs
d1d7c22b-3508-4c1c-ae1a-1002f0bddc10,65e2841b-c7da-4c4a-9565-cd8cfd9a2f68,Forks
4d07ed5f-2f13-4e36-9aa2-f00f7416a320,65e2841b-c7da-4c4a-9565-cd8cfd9a2f68,Headsets
4cbd260b-f57a-4ade-a6da-06451fdb4a10,65e2841b-c7da-4c4a-9565-cd8cfd9a2f68,Mountain Frames
94ce21f6-249d-468d-a859-a7cac5f87bb0,65e2841b-c7da-4c4a-9565-cd8cfd9a2f68,Pedals
620ba621-4c59-4a94-a9f5-f0bf14b38d42,65e2841b-c7da-4c4a-9565-cd8cfd9a2f68,Road Frames
717ba7e9-56bc-45ac-89bb-fb64c4016809,65e2841b-c7da-4c4a-9565-cd8cfd9a2f68,Saddles
744d9b82-e80b-4c79-99b5-313f7a358c40,65e2841b-c7da-4c4a-9565-cd8cfd9a2f68,Touring Frames
f9a7e077-33a4-4ef3-b979-beaf4bf163de,65e2841b-c7da-4c4a-9565-cd8cfd9a2f68,Wheels
e55492be-8655-40a9-a411-3d7bda43bf85,2664e8d8-c7ce-4a38-aae4-07e0b536bba3,Bib-Shorts
2cb4136a-654d-4b91-9c42-3c7592b223d3,2664e8d8-c7ce-4a38-aae4-07e0b536bba3,Caps
a134278c-2ff4-4711-99c7-28a97ee1299c,2664e8d8-c7ce-4a38-aae4-07e0b536bba3,Gloves
3efbcaad-1b67-4391-bdcd-505d47385bb2,2664e8d8-c7ce-4a38-aae4-07e0b536bba3,Jerseys
8a86dacf-77fd-49ba-b19a-4f8786d90b15,2664e8d8-c7ce-4a38-aae4-07e0b536bba3,Shorts
fbf4da89-ce81-4717-af54-501a253fb881,2664e8d8-c7ce-4a38-aae4-07e0b536bba3,Socks
3b4b1256-11d2-4713-860c-1e70bbc27950,2664e8d8-c7ce-4a38-aae4-07e0b536bba3,Tights
b5b4ee0a-77db-40b5-8539-1eb457fbe4ab,2664e8d8-c7ce-4a38-aae4-07e0b536bba3,Vests
8dbb2e5c-444a-4667-bb42-155bef10b7da,0a37a9c4-764e-4952-bf4f-d47b38694c4d,Bike Racks
d96c3d1c-0bdd-421c-adac-57886e4c5a47,0a37a9c4-764e-4952-bf4f-d47b38694c4d,Bike Stands
1db6b732-bddb-494c-9534-3db9a37df0e6,0a37a9c4-764e-4952-bf4f-d47b38694c4d,Bottles and Cages
06587d62-51ef-4312-acb1-2a2ada6e262c,0a37a9c4-764e-4952-bf4f-d47b38694c4d,Cleaners
8b3367a4-dbe1-43ad-b332-879582c95566,0a37a9c4-764e-4952-bf4f-d47b38694c4d,Fenders
dd39091e-757a-41c2-b0b4-7563133e993c,0a37a9c4-764e-4952-bf4f-d47b38694c4d,Helmets
fd2406ff-6629-42d0-8287-8204b851b2a2,0a37a9c4-764e-4952-bf4f-d47b38694c4d,Hydration Packs
1b1a5e14-fad4-4f21-b7f6-b5ca596767f0,0a37a9c4-764e-4952-bf4f-d47b38694c4d,Lights
5ab3da97-8ea2-4d06-ad06-d9c3ed53bcad,0a37a9c4-764e-4952-bf4f-d47b38694c4d,Locks
f6b39854-e673-4e79-9b05-cc7231eef6e8,0a37a9c4-764e-4952-bf4f-d47b38694c4d,Panniers
4b542712-fc19-4ccd-801f-72a920434d4b,0a37a9c4-764e-4952-bf4f-d47b38694c4d,Pumps
4f0705e2-0929-407d-aebe-7d39f2cd831c,0a37a9c4-764e-4952-bf4f-d47b38694c4d,Tires and Tubes
