store_id,sales_person_id,name
e88ca038-7d3c-4343-a8cf-a273d7162426,28141e19-49e8-4090-9196-6e8f43b10de8,Next-Door Bike Store
48cab4d0-b342-451e-8f51-c0deeba6cbc4,16eb6889-25f7-475a-9eff-92024a00fde9,Professional Sales and Service
8b7b3e1a-51b7-4f62-9633-190ad3fa4471,0ca60d7b-b278-4a10-88c7-aa2c62611482,Riders Company
f1de0f2a-8c21-49eb-9631-01fd08c7e49b,0e8f1395-12c4-4d5b-b2df-257bc78a9b29,The Bike Mechanics
562eb541-ed31-4a78-b58f-ec1ecf57dea7,9787b7d5-2461-464d-9354-2da1defdb675,Nationwide Supply
aa8d0b91-41c1-46ab-a6fb-6cabb192261b,59948fbd-99d9-43fd-b5ab-20614fc4193d,Area Bike Accessories
8a0ae352-2aa3-437b-ada1-a60a5c5d328c,e03321bf-f1d3-4324-9184-008d6fb535da,Bicycle Accessories and Kits
ebc7e3c5-04f0-453c-8a6d-0e013a7cc981,0e8f1395-12c4-4d5b-b2df-257bc78a9b29,Clamps & Brackets Co.
1b790e1f-6b0c-4d27-a4f6-25893343fb6e,0ca60d7b-b278-4a10-88c7-aa2c62611482,Valley Bicycle Specialists
f9c45a44-846b-4f05-9f15-6a55d00fe063,28141e19-49e8-4090-9196-6e8f43b10de8,New Bikes Company
0e2d0825-b09a-4037-a6fd-5bc46b80e0f4,27d62980-8d18-4170-95a5-7f7bb9cada5a,Vinyl and Plastic Goods Corporation
26e0da79-f449-4326-8fdc-4986d3b03e8e,9737ee67-ea97-4ab7-9e6c-70f8878c6ab2,Top of the Line Bikes
9c5ba152-7f12-41e8-b4bc-607acce41d7a,59948fbd-99d9-43fd-b5ab-20614fc4193d,Fun Toys and Bikes
5ea15abb-ac10-4343-a64f-77bb0bf4bd76,e03321bf-f1d3-4324-9184-008d6fb535da,Great Bikes 
754521d9-35e6-4129-b13c-6e42a6ed427c,0e8f1395-12c4-4d5b-b2df-257bc78a9b29,Metropolitan Sales and Rental
163f3efe-7c9a-4535-a4e3-fdda19702001,9737ee67-ea97-4ab7-9e6c-70f8878c6ab2,Irregulars Outlet
9aca9752-3ae7-4644-9f24-3474cbbd3fc8,27d62980-8d18-4170-95a5-7f7bb9cada5a,Valley Toy Store
00e81eeb-6e1a-43b7-a101-1166fee946de,28141e19-49e8-4090-9196-6e8f43b10de8,Worthwhile Activity Store
32caa342-d4b6-4ff1-b119-7a12f8b2fb41,0e8f1395-12c4-4d5b-b2df-257bc78a9b29,Purchase Mart
8bc026dc-e652-40ea-b5ea-d06f020ffde7,e03321bf-f1d3-4324-9184-008d6fb535da,Major Sport Suppliers
a84aec47-b217-49fd-b638-593ef51275a4,f077eda9-c3db-4fde-81d2-e0f7ada08fcc,Family's Favorite Bike Shop
ed377a69-0da3-4bc1-857e-09d2f5d0824e,28141e19-49e8-4090-9196-6e8f43b10de8,Global Plaza
