sales_order_id,revision_number,status,online_order_flag,customer_id,sales_person_id,territory_id,currency_rate_id,order_date,due_date,ship_date,sales_order_number,account_number,sub_total,tax_amount,freight,total_due
1b9285b8-4501-4c92-adf7-ee74b4fa3d62,8.0,5.0,0.0,038a7b5e-5d15-4a1a-8305-e18131e402cc,28141e19-49e8-4090-9196-6e8f43b10de8,1e179cbb-7db9-4a66-aa94-e6fb9b3d613e,,2011-05-30 22:00:00,2011-06-12 00:00:00,2011-06-07 00:00:00,SO43659,10-4020-000676,20565.6206,1971.5149,616.0984,23153.2339
b28eec58-f64d-4211-b604-bc9e801fb523,8.0,5.0,0.0,75c8fd92-2eb9-4223-b92c-f7c66751ed52,28141e19-49e8-4090-9196-6e8f43b10de8,1e179cbb-7db9-4a66-aa94-e6fb9b3d613e,,2011-05-30 22:00:00,2011-06-12 00:00:00,2011-06-07 00:00:00,SO43660,10-4020-000117,1294.2529,124.2483,38.8276,1457.3288
664be852-4095-4495-887a-4fc24bb299e6,8.0,5.0,0.0,e5107fe5-b23a-46a4-8e49-bd195ef3b713,27d62980-8d18-4170-95a5-7f7bb9cada5a,c8b914d0-8c4c-498f-af9f-6954c90f45db,4.0,2011-05-30 22:00:00,2011-06-12 00:00:00,2011-06-07 00:00:00,SO43661,10-4020-000442,32726.4786,3153.7696,985.553,36865.8012
a3a724bb-b604-40f8-b4d2-30621d551610,8.0,5.0,0.0,cb04c96c-e647-4fe1-9fbd-7010a3e3049f,27d62980-8d18-4170-95a5-7f7bb9cada5a,c8b914d0-8c4c-498f-af9f-6954c90f45db,4.0,2011-05-30 22:00:00,2011-06-12 00:00:00,2011-06-07 00:00:00,SO43662,10-4020-000227,28832.5289,2775.1646,867.2389,32474.9324
ed512092-ed9b-4614-b6d0-80a340884550,8.0,5.0,0.0,274634cb-6c91-4372-a64e-cc4277a73779,16eb6889-25f7-475a-9eff-92024a00fde9,5f568b38-d738-4b7a-a27b-bc975b9084a2,,2011-05-30 22:00:00,2011-06-12 00:00:00,2011-06-07 00:00:00,SO43663,10-4020-000510,419.4589,40.2681,12.5838,472.3108
77072bb5-a41b-45b0-917a-5d712bddb159,8.0,5.0,0.0,5f3e4238-ce4b-4a7c-b53c-676b957cc810,48505c49-f9c7-4476-a670-158f89c331a7,d90fce1e-44e0-4d8f-8125-2f9ba1d18cbc,,2011-05-30 22:00:00,2011-06-12 00:00:00,2011-06-07 00:00:00,SO43664,10-4020-000397,24432.6088,2344.9921,732.81,27510.4109
405becd5-6f4c-4c9c-872f-b0024ddfa5fc,8.0,5.0,0.0,b3eed34c-18a1-45e9-9c40-ca8c8c67ec24,e03321bf-f1d3-4324-9184-008d6fb535da,d90fce1e-44e0-4d8f-8125-2f9ba1d18cbc,,2011-05-30 22:00:00,2011-06-12 00:00:00,2011-06-07 00:00:00,SO43665,10-4020-000146,14352.7713,1375.9427,429.9821,16158.6961
d3aea347-c391-4f02-bc39-76500f21e289,8.0,5.0,0.0,0c45e8a6-f816-4f25-8433-63721d30f00e,16eb6889-25f7-475a-9eff-92024a00fde9,5f568b38-d738-4b7a-a27b-bc975b9084a2,,2011-05-30 22:00:00,2011-06-12 00:00:00,2011-06-07 00:00:00,SO43666,10-4020-000511,5056.4896,486.3747,151.9921,5694.8564
da8699a3-03d0-4d97-b71f-4318a18d2297,8.0,5.0,0.0,b269b76d-4363-4883-a2b1-c524b61a26a9,0ca60d7b-b278-4a10-88c7-aa2c62611482,5b963d6f-3cda-4843-ade2-0cb22c0eccaf,,2011-05-30 22:00:00,2011-06-12 00:00:00,2011-06-07 00:00:00,SO43667,10-4020-000646,6107.082,586.1203,183.1626,6876.3649
3a623f5f-1937-4461-9a8f-e3903174f64b,8.0,5.0,0.0,36bfdde4-826c-4735-82ab-e914935acbba,27d62980-8d18-4170-95a5-7f7bb9cada5a,c8b914d0-8c4c-498f-af9f-6954c90f45db,4.0,2011-05-30 22:00:00,2011-06-12 00:00:00,2011-06-07 00:00:00,SO43668,10-4020-000514,35944.1562,3461.7654,1081.8017,40487.7233
