product_id,start_date,end_date,standard_cost
05385566-38df-4855-94a8-786cae6ffe49,2011-05-31 00:00:00,2012-05-29 00:00:00,12.0278
05385566-38df-4855-94a8-786cae6ffe49,2012-05-30 00:00:00,2013-05-29 00:00:00,13.8782
05385566-38df-4855-94a8-786cae6ffe49,2013-05-30 00:00:00,,13.0863
f33d8a41-b92f-4f2a-8f75-76ea2f25722b,2011-05-31 00:00:00,2012-05-29 00:00:00,12.0278
f33d8a41-b92f-4f2a-8f75-76ea2f25722b,2012-05-30 00:00:00,2013-05-29 00:00:00,13.8782
f33d8a41-b92f-4f2a-8f75-76ea2f25722b,2013-05-30 00:00:00,,13.0863
26c6c52f-19c1-4760-a72d-a452f0502a1f,2011-05-31 00:00:00,2012-05-29 00:00:00,3.3963
badb77c2-418e-483a-bb4f-a765a7e2cd3e,2011-05-31 00:00:00,2012-05-29 00:00:00,3.3963
34ad3302-abb1-4d4d-9f75-b1c0c5919313,2011-05-31 00:00:00,2012-05-29 00:00:00,12.0278
34ad3302-abb1-4d4d-9f75-b1c0c5919313,2012-05-30 00:00:00,2013-05-29 00:00:00,13.8782
34ad3302-abb1-4d4d-9f75-b1c0c5919313,2013-05-30 00:00:00,,13.0863
36847649-a79a-4f70-9b5d-5c403627ab75,2011-05-31 00:00:00,2012-05-29 00:00:00,5.7052
36847649-a79a-4f70-9b5d-5c403627ab75,2012-05-30 00:00:00,2013-05-29 00:00:00,5.2297
36847649-a79a-4f70-9b5d-5c403627ab75,2013-05-30 00:00:00,,6.9223
a2eabbb9-7096-4d1e-be0e-06be8259a129,2011-05-31 00:00:00,2012-05-29 00:00:00,31.7244
a2eabbb9-7096-4d1e-be0e-06be8259a129,2012-05-30 00:00:00,2013-05-29 00:00:00,29.0807
a2eabbb9-7096-4d1e-be0e-06be8259a129,2013-05-30 00:00:00,,38.4923
9da9449d-397b-4beb-8a8d-95b12a76ccaa,2011-05-31 00:00:00,2012-05-29 00:00:00,31.7244
9da9449d-397b-4beb-8a8d-95b12a76ccaa,2012-05-30 00:00:00,2013-05-29 00:00:00,29.0807
9da9449d-397b-4beb-8a8d-95b12a76ccaa,2013-05-30 00:00:00,,38.4923
a921a632-bb28-433a-84a4-7fb6fd334b8d,2011-05-31 00:00:00,2012-05-29 00:00:00,31.7244
a921a632-bb28-433a-84a4-7fb6fd334b8d,2012-05-30 00:00:00,2013-05-29 00:00:00,29.0807
a921a632-bb28-433a-84a4-7fb6fd334b8d,2013-05-30 00:00:00,,38.4923
