product_id,is_manufactured,is_sellable,safety_stock_level,reorder_point,days_to_manufacture,product_subcategory_id,product_model_id,name,product_number,color,standard_cost,list_price,size,size_unit_measure_code,weight_unit_measure_code,weight,product_line,class,style,sell_start_date,sell_end_date,discontinued_date
776904bb-c44c-46c4-9f48-84aa4f194272,0.0,0.0,1000.0,750.0,0.0,,,,,,0.0,0.0,,,,,,,,2008-04-30 00:00:00,,
9cfd0ae7-9945-4823-8f73-c26581afae87,0.0,0.0,1000.0,750.0,0.0,,,External Lock Washer 4,LE-1200,,0.0,0.0,,,,,,,,2008-04-30 00:00:00,,
e7f9c66f-61d6-46af-b105-b2c6d95bdc09,1.0,1.0,100.0,75.0,4.0,5332b46f-2ec0-453b-8237-c78051d4c7bf,23.0,"Mountain-500 Black, 40",BK-M18B-40,Black,294.5797,539.99,40,e2e52698-ce31-4fb2-866f-bcffbdfd3147,c4797df8-be0b-4d3a-a6c4-0f1765f0a822,27.35,M,L,U,2013-05-30 00:00:00,,
e6f3e1fb-8250-487d-b38c-df7d6a3cdbeb,1.0,1.0,500.0,375.0,1.0,4cbd260b-f57a-4ade-a6da-06451fdb4a10,8.0,"LL Mountain Frame - Silver, 42",,Silver,144.5938,264.05,42,e2e52698-ce31-4fb2-866f-bcffbdfd3147,c4797df8-be0b-4d3a-a6c4-0f1765f0a822,2.92,M,L,U,2013-05-30 00:00:00,,
bc67ce0d-72d6-4026-a2ca-fefc88073e50,1.0,1.0,100.0,75.0,4.0,5fb7ef8d-7610-4230-ae2a-09846fd56ada,29.0,"Road-550-W Yellow, 44",,Yellow,713.0798,1120.49,44,e2e52698-ce31-4fb2-866f-bcffbdfd3147,c4797df8-be0b-4d3a-a6c4-0f1765f0a822,18.42,R,M,W,2012-05-30 00:00:00,,
33383d99-db78-414e-a552-f1c3a3937aee,1.0,1.0,500.0,375.0,1.0,620ba621-4c59-4a94-a9f5-f0bf14b38d42,9.0,"LL Road Frame - Black, 58",FR-R38B-58,Black,204.6251,337.22,58,e2e52698-ce31-4fb2-866f-bcffbdfd3147,c4797df8-be0b-4d3a-a6c4-0f1765f0a822,2.46,R,L,U,2011-05-31 00:00:00,,
06a767cc-48e8-4f48-8bad-9a59e47cbcca,1.0,0.0,500.0,375.0,1.0,,,,HU-6280,,0.0,0.0,,,,,,L,,2008-04-30 00:00:00,,
2f498249-a692-48f7-93d3-af567d3c36d6,1.0,1.0,500.0,375.0,2.0,4cbd260b-f57a-4ade-a6da-06451fdb4a10,5.0,,FR-M94S-38,Silver,,1364.5,38,e2e52698-ce31-4fb2-866f-bcffbdfd3147,c4797df8-be0b-4d3a-a6c4-0f1765f0a822,2.68,M,H,U,2011-05-31 00:00:00,,
e13ecf87-00c6-49dc-ab2e-27e210212721,0.0,0.0,1000.0,750.0,0.0,,,Lock Nut 11,LN-5162,,0.0,0.0,,,,,,,,2008-04-30 00:00:00,,
3c0ae951-99b0-4a3e-be29-43dc3aec5abb,1.0,1.0,500.0,375.0,1.0,620ba621-4c59-4a94-a9f5-f0bf14b38d42,9.0,"LL Road Frame - Red, 52",,Red,187.1571,337.22,52,e2e52698-ce31-4fb2-866f-bcffbdfd3147,c4797df8-be0b-4d3a-a6c4-0f1765f0a822,2.4,R,L,U,2011-05-31 00:00:00,2013-05-29 00:00:00,
