ProductID,Name,ProductNumber,MakeFlag,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,StandardCost,ListPrice,Size,SizeUnitMeasureCode,WeightUnitMeasureCode,Weight,DaysToManufacture,ProductLine,Class,Style,ProductSubcategoryID,ProductModelID,SellStartDate,SellEndDate,DiscontinuedDate,rowguid,ModifiedDate,ProductCategoryID,SubcategoryName,CategoryName,order_lines,order_count,total_qty,total_revenue,avg_unit_price,median_unit_price,avg_unit_discount,discounted_line_pct,online_order_pct,territory_count,last_sale_date,revenue_share_europe,revenue_share_north_america,revenue_share_pacific,price_record_count,list_price_min,list_price_max,list_price_mean,list_price_std,current_list_price,cost_record_count,standard_cost_min,standard_cost_max,standard_cost_mean,standard_cost_std,current_standard_cost,linked_offer_count,discount_offer_count,max_discount_pct,avg_discount_pct,max_min_qty,promo_days_total,gross_margin_amount,gross_margin_pct,list_price_range,cost_range,list_price_volatility,cost_volatility,revenue_per_order,qty_per_order,sold_flag,cluster
680,"HL Road Frame - Black, 58",FR-R92B-58,1,1,Black,500,375,1059.31,1431.5,58,CM ,LB ,2.24,1,R ,H ,U ,14.0,6.0,2019-04-30 00:00:00.000,,,43DD68D6-14A4-461F-9069-55309D90EA7E,2025-02-07 10:01:36.827,2.0,Road Frames,Components,0.0,0.0,0.0,0.0,1431.5,1431.5,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1431.5,,,,,0.0,1059.31,1.0,0.0,0.0,0.0,0.0,1309.0,372.19000000000005,0.26000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0,6
706,"HL Road Frame - Red, 58",FR-R92R-58,1,1,Red,500,375,1059.31,1431.5,58,CM ,LB ,2.24,1,R ,H ,U ,14.0,6.0,2019-04-30 00:00:00.000,,,9540FF17-2712-4C90-A3D1-8CE5568B2462,2025-02-07 10:01:36.827,2.0,Road Frames,Components,0.0,0.0,0.0,0.0,1431.5,1431.5,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1431.5,,,,,0.0,1059.31,1.0,0.0,0.0,0.0,0.0,1309.0,372.19000000000005,0.26000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0,6
707,"Sport-100 Helmet, Red",HL-U509-R,0,1,Red,4,3,13.0863,34.99,,,,,0,S ,,,31.0,33.0,2022-05-30 00:00:00.000,,,2E1EF41A-C08A-4FF6-8ADA-BDE58B64A712,2025-02-07 10:01:36.827,4.0,Helmets,Accessories,3083.0,3083.0,6266.0,157772.39439200002,30.886532533246836,34.99,0.002779759974051249,0.03373337658125203,0.7233214401556926,10.0,2025-06-29,0.25788890329513253,0.6303807647419658,0.11173033196290164,3.0,33.6442,34.99,34.092800000000004,0.7769979922754018,34.99,3.0,12.0278,13.8782,12.997433333333333,0.9283953917019051,13.0863,5.0,4.0,0.15,0.064,15.0,3559.0,21.9037,0.6259988568162332,1.345800000000004,1.8504000000000005,0.022790676983861745,0.07142913280585436,51.17495763606877,2.0324359390204347,1,5
708,"Sport-100 Helmet, Black",HL-U509,0,1,Black,4,3,13.0863,34.99,,,,,0,S ,,,31.0,33.0,2022-05-30 00:00:00.000,,,A25A44FB-C2DE-4268-958F-110B8D7621E2,2025-02-07 10:01:36.827,4.0,Helmets,Accessories,3007.0,3007.0,6532.0,160869.517836,30.44952810109744,34.99,0.0030129697372796808,0.039906883937479216,0.6933821084137014,10.0,2025-06-29,0.242982656135323,0.652266709768918,0.10475063409575892,3.0,33.6442,34.99,34.092800000000004,0.7769979922754018,34.99,3.0,12.0278,13.8782,12.997433333333333,0.9283953917019051,13.0863,5.0,4.0,0.15,0.064,15.0,3559.0,21.9037,0.6259988568162332,1.345800000000004,1.8504000000000005,0.022790676983861745,0.07142913280585436,53.498343144662456,2.172264715663452,1,5
709,"Mountain Bike Socks, M",SO-B909-M,0,1,White,4,3,3.3963,9.5,M,,,,0,M ,,U ,23.0,18.0,2022-05-30 00:00:00.000,2023-05-29 00:00:00.000,,18F95F47-1540-4E02-8F1F-CC1BCB6828D0,2025-02-07 10:01:36.827,3.0,Socks,Clothing,188.0,188.0,1107.0,6060.3882,5.656037234042554,5.7,0.004627659574468085,0.11702127659574468,0.0,6.0,2023-04-30,0.0,1.0,0.0,1.0,9.5,9.5,9.5,0.0,9.5,1.0,3.3963,3.3963,3.3963,0.0,3.3963,4.0,3.0,0.1,0.0425,25.0,4594.0,6.1037,0.6424947368421052,0.0,0.0,0.0,0.0,32.23610744680851,5.888297872340425,1,5
710,"Mountain Bike Socks, L",SO-B909-L,0,1,White,4,3,3.3963,9.5,L,,,,0,M ,,U ,23.0,18.0,2022-05-30 00:00:00.000,2023-05-29 00:00:00.000,,161C035E-21B3-4E14-8E44-AF508F35D80A,2025-02-07 10:01:36.827,3.0,Socks,Clothing,44.0,44.0,90.0,513.0,5.7,5.7,0.0,0.0,0.0,6.0,2023-04-30,0.0,1.0,0.0,1.0,9.5,9.5,9.5,0.0,9.5,1.0,3.3963,3.3963,3.3963,0.0,3.3963,1.0,0.0,0.0,0.0,0.0,1309.0,6.1037,0.6424947368421052,0.0,0.0,0.0,0.0,11.659090909090908,2.0454545454545454,1,0
711,"Sport-100 Helmet, Blue",HL-U509-B,0,1,Blue,4,3,13.0863,34.99,,,,,0,S ,,,31.0,33.0,2022-05-30 00:00:00.000,,,FD7C0858-4179-48C2-865B-ABD5DFC7BC1D,2025-02-07 10:01:36.827,4.0,Helmets,Accessories,3090.0,3090.0,6743.0,165406.617049,30.365002135922328,34.99,0.0029255663430420714,0.039482200647249194,0.6877022653721683,10.0,2025-06-29,0.24147080555530576,0.6535210858824195,0.10500810856227477,3.0,33.6442,34.99,34.092800000000004,0.7769979922754018,34.99,3.0,12.0278,13.8782,12.997433333333333,0.9283953917019051,13.0863,5.0,4.0,0.15,0.064,15.0,3559.0,21.9037,0.6259988568162332,1.345800000000004,1.8504000000000005,0.022790676983861745,0.07142913280585436,53.52964953042071,2.182200647249191,1,5
712,AWC Logo Cap,CA-1098,0,1,Multi,4,3,6.9223,8.99,,,,,0,S ,,U ,19.0,2.0,2022-05-30 00:00:00.000,,,B9EDE243-A6F4-4629-B1D4-FFE1AEDC6DE7,2025-02-07 10:01:36.827,3.0,Caps,Clothing,3382.0,3382.0,8311.0,51229.445623,7.66823095801301,8.99,0.0010644589000591367,0.03311649911295092,0.6475458308693081,10.0,2025-06-29,0.24756161630814294,0.6581809953622031,0.0942573883296539,3.0,8.6442,8.99,8.759466666666667,0.19964772308577292,8.99,3.0,5.2297,6.9223,5.9524,0.8729573700931793,6.9223,4.0,3.0,0.1,0.0425,25.0,4594.0,2.0677000000000003,0.23000000000000004,0.34580000000000055,1.6925999999999997,0.022792223623101817,0.14665636887527372,15.147677594027202,2.4574216439976344,1,5
713,"Long-Sleeve Logo Jersey, S",LJ-0192-S,0,1,Multi,4,3,38.4923,49.99,S,,,,0,S ,,U ,21.0,11.0,2022-05-30 00:00:00.000,,,FD449C82-A259-4FAE-8584-6CA0255FAF68,2025-02-07 10:01:36.827,3.0,Jerseys,Clothing,429.0,429.0,429.0,21445.71,49.989999999999995,49.99,0.0,0.0,1.0,8.0,2025-06-29,0.3263403263403264,0.5804195804195804,0.09324009324009325,3.0,48.0673,49.99,48.708200000000005,1.1100713625708918,49.99,3.0,29.0807,38.4923,33.099133333333334,4.854067618331386,38.4923,1.0,0.0,0.0,0.0,0.0,1309.0,11.497700000000002,0.23000000000000004,1.922699999999999,9.4116,0.02279023578311027,0.1466524083711573,49.989999999999995,1.0,1,7
714,"Long-Sleeve Logo Jersey, M",LJ-0192-M,0,1,Multi,4,3,38.4923,49.99,M,,,,0,S ,,U ,21.0,11.0,2022-05-30 00:00:00.000,,,6A290063-A0CF-432A-8110-2EA0FDA14308,2025-02-07 10:01:36.827,3.0,Jerseys,Clothing,1218.0,1218.0,3636.0,115249.214976,36.7811408045977,29.994,0.0005829228243021346,0.025451559934318555,0.36288998357963875,10.0,2025-06-29,0.21538858628381397,0.7500390051073313,0.03457240860885463,3.0,48.0673,49.99,48.708200000000005,1.1100713625708918,49.99,3.0,29.0807,38.4923,33.099133333333334,4.854067618331386,38.4923,3.0,2.0,0.05,0.023333333333333334,15.0,3499.0,11.497700000000002,0.23000000000000004,1.922699999999999,9.4116,0.02279023578311027,0.1466524083711573,94.6216871724138,2.9852216748768474,1,5
